2	1.000000
3	0.609000
4	0.374000
5	0.264000
6	0.223000
7	0.175000
8	0.142000
9	0.159000
10	0.140000
11	0.187000
12	0.229000
13	0.281000
14	0.269000
15	0.368000
16	0.397000
17	0.423000
18	0.496000
19	0.578000
20	0.599000
21	0.632000
22	0.644000
23	0.706000
24	0.765000
25	0.777000
26	0.809000
27	0.813000
28	0.850000
29	0.865000
30	0.876000
31	0.905000
32	0.920000
33	0.907000
34	0.928000
35	0.937000
36	0.942000
37	0.959000
38	0.962000
39	0.959000
40	0.974000
41	0.967000
42	0.976000
43	0.972000
44	0.979000
45	0.982000
46	0.987000
47	0.982000
48	0.988000
49	0.995000
50	0.990000
51	0.995000
52	0.992000
53	0.993000
54	0.992000
55	0.997000
56	0.997000
57	0.997000
58	0.997000
59	0.998000
60	0.999000
61	0.998000
62	0.998000
63	1.000000
64	1.000000
65	0.999000
66	1.000000
67	0.999000
68	1.000000
69	1.000000
70	0.997000
71	1.000000
72	1.000000
73	0.999000
74	1.000000
75	1.000000
76	1.000000
77	0.999000
78	1.000000
79	1.000000
80	1.000000
81	1.000000
82	1.000000
83	1.000000
84	1.000000
85	1.000000
86	1.000000
87	1.000000
88	1.000000
89	1.000000
90	1.000000
91	1.000000
92	1.000000
93	1.000000
94	1.000000
95	1.000000
96	1.000000
97	1.000000
98	1.000000
99	1.000000
100	1.000000
