0	8	0.000003
47	8	0.000013
94	8	0.000023
141	8	0.000030
188	8	0.000045
235	8	0.000050
282	8	0.000060
329	8	0.000074
376	8	0.000083
423	8	0.000093
470	8	0.000100
517	8	0.000110
564	8	0.000123
611	8	0.000153
658	8	0.000139
705	8	0.000153
752	8	0.000159
799	8	0.000170
846	8	0.000184
893	8	0.000201
940	8	0.000203
987	8	0.000209
1034	8	0.000219
1081	8	0.000234
1128	8	0.000240
1175	8	0.000250
1222	8	0.000269
1269	8	0.000272
1316	8	0.000282
1363	8	0.000296
1410	8	0.000303
1457	8	0.000326
1504	8	0.000127
1551	8	0.000071
1598	8	0.000075
1645	8	0.000077
1692	8	0.000094
1739	8	0.000095
1786	8	0.000083
1833	8	0.000087
1880	8	0.000088
1927	8	0.000090
1974	8	0.000093
2021	8	0.000095
2068	8	0.000097
2115	8	0.000100
2162	8	0.000101
2209	8	0.000104
2256	8	0.000107
2303	8	0.000108
2350	8	0.000128
2397	8	0.000115
2444	8	0.000237
2491	8	0.000166
2538	8	0.000135
2585	8	0.000127
2632	8	0.000131
2679	8	0.000131
2726	8	0.000133
2773	8	0.000134
2820	8	0.000165
2867	8	0.000170
2914	8	0.000142
2961	8	0.000144
3008	8	0.000148
3055	8	0.000148
3102	8	0.000150
3149	8	0.000153
3196	8	0.000174
3243	8	0.000158
3290	8	0.000160
3337	8	0.000162
3384	8	0.000165
3431	8	0.000167
3478	8	0.000169
3525	8	0.000172
3572	8	0.000174
3619	8	0.000177
3666	8	0.000180
3713	8	0.000181
3760	8	0.000184
3807	8	0.000186
3854	8	0.000189
3901	8	0.000192
3948	8	0.000193
3995	8	0.000197
4042	8	0.000199
4089	8	0.000199
4136	8	0.000203
4183	8	0.000205
4230	8	0.000207
4277	8	0.000210
4324	8	0.000212
4371	8	0.000214
4418	8	0.000217
4465	8	0.000219
4512	8	0.000221
4559	8	0.000224
4606	8	0.000238
4653	8	0.000229
4700	8	0.000231
4747	8	0.000234
4794	8	0.000238
4841	8	0.000238
4888	8	0.000245
4935	8	0.000244
4982	8	0.000245
5029	8	0.000248
5076	8	0.000251
5123	8	0.000253
5170	8	0.000256
5217	8	0.000257
5264	8	0.000260
5311	8	0.000264
5358	8	0.000265
5405	8	0.000267
5452	8	0.000270
5499	8	0.000272
5546	8	0.000276
5593	8	0.000279
5640	8	0.000279
5687	8	0.000283
5734	8	0.000284
5781	8	0.000286
5828	8	0.000290
5875	8	0.000291
5922	8	0.000293
5969	8	0.000297
6016	8	0.000298
6063	8	0.000307
6110	8	0.000375
6157	8	0.000305
6204	8	0.000318
6251	8	0.000310
6298	8	0.000313
6345	8	0.000317
6392	8	0.000329
6439	8	0.000321
6486	8	0.000322
6533	8	0.000325
6580	8	0.000330
6627	8	0.000329
6674	8	0.000332
6721	8	0.000336
6768	8	0.000339
6815	8	0.000339
6862	8	0.000343
6909	8	0.000373
6956	8	0.000340
7003	8	0.000341
7050	8	0.000343
7097	8	0.000347
7144	8	0.000348
7191	8	0.000350
7238	8	0.000354
7285	8	0.000356
7332	8	0.000357
7379	8	0.000360
7426	8	0.000362
7473	8	0.000366
7520	8	0.000367
7567	8	0.000369
7614	8	0.000372
7661	8	0.000374
7708	8	0.000376
7755	8	0.000379
7802	8	0.000382
7849	8	0.000384
7896	8	0.000389
7943	8	0.000388
7990	8	0.000392
8037	8	0.000393
8084	8	0.000395
